TABLE NO.  1
 NUM             IPRED           NPDE            CWRES           DV              PRED            RES             WRES
    5.400000E+01    3.042115E+01   -3.495630E-01   -3.138559E-01    3.189900E+01    5.226759E+01   -2.036859E+01   -2.926628E-01
    5.500000E+01    2.795427E+01   -1.208990E+00   -1.696516E+00    2.127400E+01    4.750482E+01   -2.623082E+01   -1.052999E+00
    5.600000E+01    2.588057E+01   -1.208990E+00   -1.483991E+00    2.054700E+01    4.332940E+01   -2.278240E+01   -9.446757E-01
    5.700000E+01    2.394488E+01   -6.744898E-01   -1.041121E+00    2.091400E+01    3.948020E+01   -1.856620E+01   -7.092499E-01
    5.800000E+01    2.026116E+01   -1.340755E+00   -1.716818E+00    1.461300E+01    3.245088E+01   -1.783788E+01   -1.177341E+00
    5.900000E+01    1.553699E+01    5.927726E-01    1.144654E+00    1.975500E+01    2.415107E+01   -4.396068E+00    5.379655E-01
    6.000000E+01    9.677860E+00    1.594259E-01    3.810501E-01    1.059800E+01    1.520841E+01   -4.610413E+00    6.400401E-02
    6.500000E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    6.600000E+01    3.127593E+01    1.126391E+00    1.138474E+00    3.912000E+01    3.673191E+01    2.388089E+00    9.593676E-01
    6.700000E+01    3.376078E+01   -4.491363E-01   -6.949625E-01    3.128300E+01    4.459986E+01   -1.331686E+01   -5.765869E-01
    6.800000E+01    3.361826E+01   -2.053749E+00   -2.411334E+00    2.027400E+01    4.792595E+01   -2.765195E+01   -1.761485E+00
    6.900000E+01    3.263023E+01    6.689328E-02   -1.146421E-02    3.549800E+01    4.838191E+01   -1.288391E+01   -1.335731E-01
    7.000000E+01    2.960815E+01   -1.300781E+00   -1.800170E+00    2.150200E+01    4.490764E+01   -2.340564E+01   -1.253443E+00
    7.100000E+01    2.739024E+01   -4.124631E-01   -5.046792E-01    2.683200E+01    4.122124E+01   -1.438924E+01   -4.174153E-01
    7.200000E+01    2.548078E+01   -5.852138E-02    9.332846E-02    2.788800E+01    3.792543E+01   -1.003743E+01   -3.264899E-02
    7.300000E+01    2.378026E+01   -2.533471E-01   -2.652109E-01    2.422900E+01    3.501021E+01   -1.078121E+01   -2.761936E-01
    7.400000E+01    2.041996E+01    3.853205E-01    6.277503E-01    2.430500E+01    2.941592E+01   -5.110922E+00    3.029926E-01
    7.500000E+01    1.571818E+01   -1.933732E-01   -2.029147E-01    1.598200E+01    2.207641E+01   -6.094407E+00   -2.963099E-01
    7.600000E+01    1.013691E+01   -5.015358E-02   -1.267140E-01    1.043600E+01    1.429690E+01   -3.860901E+00   -2.401343E-01
    8.100000E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    8.200000E+01    8.260359E+01   -1.004337E-01   -1.058446E-01    8.312500E+01    8.728240E+01   -4.157398E+00   -1.050714E-01
    8.300000E+01    1.216223E+02   -6.027625E-01   -8.837126E-01    1.036400E+02    1.259576E+02   -2.231761E+01   -8.357495E-01
    8.400000E+01    1.276706E+02    5.340119E-01    4.140317E-01    1.418600E+02    1.313281E+02    1.053187E+01    3.893431E-01
    8.500000E+01    1.283986E+02    3.230377E-01    2.439874E-01    1.382500E+02    1.309337E+02    7.316310E+00    2.330510E-01
    8.600000E+01    1.195278E+02    6.850168E-01    6.895804E-01    1.394000E+02    1.213052E+02    1.809477E+01    6.624460E-01
    8.700000E+01    1.107450E+02   -6.956203E-01   -6.449930E-01    9.971800E+01    1.123368E+02   -1.261878E+01   -6.125010E-01
